X,Y,id,initialdate,finaldate,area_ha,iso2,iso3,country,admlvl1,admlvl2,admlvl3,admlvl5,map_source,broadleaved_forest_percent,coniferous_forest_percent,mixed_forest_percent,sclerophillous_vegetation_percent,transitional_vegetation_percent,other_natural_percent,agriculture_percent,artificial_percent,other_percent,natura2k_percent,noneu,updated,area_code,eu_area
,,"206273",2022/07/13 14:12:00,2022/07/13 14:12:00+00,"257",PT,PRT,Portugal,Continente,Alentejo,Alentejo Central,Cabrela,sentinel,5.0583657587529,26.8482490272269,57.9766536964755,0,0,0,10.1167315175058,0,0,0,"0",2022/07/20 07:56:04.220,EU,EU
,,"206277",2022/07/09 12:57:00,2022/07/09 12:57:00+00,"1",PT,PRT,Portugal,Continente,Centro (PT),Região de Leiria,Castanheira de Pêra e Coentral,sentinel,0,99.99999999,0,0,0,0,0,0,0,100,"0",2022/07/20 07:59:19.679,EU,EU
,,"206279",2022/07/17 01:34:00,2022/07/17 02:26:00+00,"2",PT,PRT,Portugal,Continente,Centro (PT),Região de Coimbra,Cordinhã,sentinel,0,99.999999995,0,0,0,0,0,0,0,0,"0",2022/07/20 08:00:04.187,EU,EU
,,"205527",2022/07/12 01:28:00,2022/07/14 02:30:00+00,"72",ES,ESP,España,Noroeste,Galicia,Ourense,Ribadavia,sentinel,0,31.8840579709683,14.4927536231674,0,47.8260869564524,4.34782608695022,1.44927536231674,0,0,0,"0",2022/07/19 07:02:42.041,EU,EU
,,"205528",2022/07/12 01:28:00,2022/07/13 14:14:00+00,"91",ES,ESP,España,Noroeste,Galicia,Ourense,Melón,sentinel,3.29670329669967,41.7582417581959,0,0,24.1758241757976,30.769230769197,0,0,0,0,"0",2022/07/19 07:02:42.041,EU,EU
,,"207018",2022/07/26 14:18:00,2022/07/26 14:18:00+00,"107",ES,ESP,España,Sur,Andalucía,Málaga,Mijas,sentinel,0,0,0,29.3577981651107,0,0,27.5229357797913,43.1192660550063,0,0,"0",2022/07/28 08:41:11.142,EU,EU
,,"206139",2022/07/14 22:29:00,2022/07/15 03:02:00+00,"20",PT,PRT,Portugal,Continente,Norte,Ave,Rio Douro,sentinel,0,0,0,0,26.3157894735457,73.684210525928,0,0,0,0,"0",2022/07/19 07:47:12.626,EU,EU
,,"206140",2022/07/17 01:34:00,2022/07/17 03:13:00+00,"2",PT,PRT,Portugal,Continente,Norte,Ave,Cepães e Fareja,sentinel,0,0,0,0,0,99.999999995,0,0,0,0,"0",2022/07/19 07:49:36.031,EU,EU
,,"206039",2022/07/15 01:22:00,2022/07/16 02:43:00+00,"108",ES,ESP,España,Noroeste,Galicia,Pontevedra,Rodeiro,sentinel,26.7857142856904,0,2.67857142856904,0,70.5357142856513,0,0,0,0,0,"0",2022/07/19 07:06:11.727,EU,EU
,,"206121",2022/07/15 12:46:00,2022/07/15 13:44:00+00,"0",ES,ESP,España,Noroeste,Galicia,Pontevedra,Rodeiro,sentinel,,,,,,,,,,0,"0",2022/07/19 07:06:11.727,EU,EU
,,"206123",2022/07/14 13:53:00,2022/07/15 02:13:00+00,"11",ES,ESP,España,Noroeste,Galicia,Ourense,Vilamarín,sentinel,0,99.999999999,0,0,0,0,0,0,0,0,"0",2022/07/19 07:14:01.837,EU,EU
,,"207021",2022/07/24 23:03:00,2022/07/24 23:54:00+00,"1",EL,GRC,Ελλάδα ,"Νησιά Αιγαίου, Κρήτη",Κρήτη,Λασίθι,Τοπική Κοινότητα Λαγού,sentinel,0,0,0,99.99999999,0,0,0,0,0,100,"0",2022/07/28 08:44:39.658,EU,EU
,,"207022",2022/07/15 08:52:00,2022/07/15 11:51:00+00,"46",EL,GRC,Ελλάδα ,Αττική,Aττική,Ανατολική Αττική,Δημοτική Κοινότητα Καλυβίων Θορικού,sentinel,0,46.8085106381983,0,0,0,0,53.1914893615889,0,0,0,"0",2022/07/28 08:44:39.658,EU,EU
,,"206129",2022/07/15 14:25:00,2022/07/15 14:25:00+00,"2",ES,ESP,España,Sur,Andalucía,Granada,Loja,sentinel,0,0,0,0,99.999999995,0,0,0,0,0,"0",2022/07/19 07:17:13.348,EU,EU
,,"207027",2022/07/23 00:33:00,2022/07/23 00:33:00+00,"3",EL,GRC,Ελλάδα ,Βόρεια Ελλάδα,Δυτική Μακεδονία,"Γρεβενά, Κοζάνη",Τοπική Κοινότητα Περιβολίου,sentinel,0,0,99.9999999966667,0,0,0,0,0,0,100,"0",2023/02/21 15:30:45.676,EU,EU
,,"210077",2022/08/14 08:59:33.425,2022/08/14 08:59:33.425+00,"224",PT,PRT,Portugal,Continente,Centro (PT),Oeste,Meca,sentinel,0,0,0,0,11.312217194565,2.262443438913,86.4253393664767,0,0,0,"0",2022/09/02 06:59:45.119,EU,EU
,,"209912",2022/08/29 22:42:00,2022/08/30 03:40:00+00,"79",PT,PRT,Portugal,Continente,Centro (PT),Beiras e Serra da Estrela,Loriga,sentinel,0,0,0,0,77.21518987332,22.7848101265534,0,0,0,100,"0",2022/09/02 07:08:16.738,EU,EU
,,"210084",2022/08/31 12:14:00,2022/08/31 12:14:00+00,"1",PT,PRT,Portugal,Continente,Norte,Douro,Muxagata,sentinel,0,0,0,0,0,0,99.99999999,0,0,0,"0",2022/09/02 07:33:04.535,EU,EU
,,"206008",2022/07/16 01:52:00,2022/07/17 03:13:00+00,"168",PT,PRT,Portugal,Continente,Norte,Ave,Basto,sentinel,0,0,1.80722891566156,0,1.20481927710771,82.530120481878,0,14.4578313252925,0,0,"0",2022/08/23 08:59:21.514,EU,EU
,,"210085",2022/08/28 01:45:00,2022/08/28 14:01:00+00,"101",PT,PRT,Portugal,Continente,Norte,Douro,Fontes,sentinel,0,0,2.999999999997,32.999999999967,0,62.999999999937,0.999999999999,0,0,76.40830466411,"0",2022/09/02 07:33:04.535,EU,EU
,,"210086",2022/08/24 13:36:00,2022/08/24 13:36:00+00,"2",PT,PRT,Portugal,Continente,Norte,Área Metropolitana do Porto,Paredes,sentinel,0,0,0,0,0,99.99999999,0,0,0,0,"0",2022/09/02 07:33:04.535,EU,EU
,,"206138",2022/07/17 01:34:00,2022/07/17 03:13:00+00,"4",PT,PRT,Portugal,Continente,Norte,Ave,Silvares (São Martinho),sentinel,0,0,0,0,0,99.999999998,0,0,0,0,"0",2022/07/19 07:47:12.626,EU,EU
,,"205510",2022/07/13 10:41:00,2022/07/13 14:14:00+00,"53",PT,PRT,Portugal,Continente,Norte,Tâmega e Sousa,Codeçoso,sentinel,0,0,0,0,0,99.9999999998182,0,0,0,0,"0",2022/07/19 07:49:36.031,EU,EU
,,"205699",2022/07/14 11:25:00,2022/07/15 13:33:00+00,"259",PT,PRT,Portugal,Continente,Norte,Tâmega e Sousa,Penafiel,sentinel,0,0,3.07692307692189,0,4.61538461538284,91.9230769230416,0.384615384615237,0,0,0,"0",2022/07/19 07:52:09.443,EU,EU
,,"206148",2022/07/12 22:42:00,2022/07/14 03:21:00+00,"647",PT,PRT,Portugal,Continente,Algarve,Algarve,Almancil,sentinel,0,8.51393188854357,0,22.7554179566528,0.464396284829649,25.5417956656307,34.0557275541743,8.66873065015346,0,64.1797698655864,"0",2022/07/19 13:15:30.410,EU,EU
